# SNRtot, SNR330_res, SNR330, evidence220_330, evidence220, nofilter
6.336312017503419014e+01 8.491128688910709599e+00 1.175871805799508785e+01 5.945507522337647011e+00 -2.234534636143767727e+01 -1.995452098048857806e+03
3.494901412349622927e+00 1.503742615418615314e+00 2.046909534351788018e+00 1.087476467552623838e+01 9.615108836725303476e+00 5.883233168032970362e+00
8.312094631811344669e+00 3.174580567098459039e+00 4.534058791085097795e+00 9.966071116180167166e+00 6.149151786817225407e+00 -2.255505747503881508e+01
3.686763362222253448e+01 2.847068656701985034e+01 3.419525852857825754e+01 6.568974464224446308e+00 -2.993959237106823252e+02 -6.676208033421620485e+02
7.448477719303375011e+01 9.901072885461502437e+00 1.419255766273599484e+01 6.068521975264565604e+00 -3.276101106294446197e+01 -2.762000615638885392e+03
1.854283966911453163e+01 1.135131402528999622e+01 1.560311998512128184e+01 8.073474352025582945e+00 -4.311989271220190290e+01 -1.599280503881891207e+02
3.800104937728535504e+01 1.496873864344670757e+01 1.723293429272544941e+01 6.801891221017949185e+00 -9.965189511326812521e+01 -7.100494757783850446e+02
6.162479616869011778e+01 1.960429699048059859e+01 2.689016070990380669e+01 6.628388000561907134e+00 -8.702351903480480644e+01 -1.886817350307247352e+03
4.314442319738510889e+01 1.857675953433968274e+01 2.146601606589278077e+01 7.484538353696248869e+00 -4.849597999783585323e+01 -9.187302254084763717e+02
1.625893467493044753e+01 1.062433304689303704e+01 1.353820034674812334e+01 8.240329854007615751e+00 -3.209790353686177156e+01 -1.201860772727731899e+02
2.332201670489191514e+01 7.223485340914256980e+00 8.318674500200330613e+00 7.689485510822374081e+00 -1.451462570927742846e+01 -2.599678304825740724e+02
2.089707006205082962e+01 1.766703704809698650e+01 2.212531735539829825e+01 7.600478172883896377e+00 -1.166531397574557047e+02 -2.063533674800758888e+02
5.313436689492381504e+01 1.985927615534261292e+01 2.845718342035699422e+01 7.132204551830567674e+00 -1.113116930078263920e+02 -1.399640071553133339e+03
5.102170654392667615e+01 9.384933755916103237e+00 1.123992254309078831e+01 6.779435315599332768e+00 -2.699015809253891263e+01 -1.289616868218230366e+03
1.877255538870753426e+01 5.349231545788491360e+00 7.495323172388900446e+00 8.627068539535347469e+00 3.211464073191194757e-02 -1.642140168019914768e+02
4.164283075142147794e+01 1.226693112265669150e+01 1.743848767003911959e+01 7.491226106160897125e+00 -3.865548135635062721e+01 -8.550722753867123629e+02
4.693507125738362618e+01 2.005761094636171649e+01 2.764565387002690144e+01 6.210775997426760675e+00 -1.156061717250154857e+02 -1.089460055858784699e+03
6.282196689875247841e+01 2.499386709816548446e+01 3.296791484703691566e+01 6.230956125807376900e+00 -2.862030844940724705e+02 -1.961309361404921447e+03
6.781318725384056734e+01 6.606648974440902045e+00 7.644048901579026278e+00 6.363816014666467069e+00 -6.912392556344863159e+00 -2.287323781653167316e+03
6.384498668290689238e+01 1.693502629306722795e+01 1.973679049875147840e+01 6.722493767349018157e+00 -6.602513593346405685e+01 -2.026100761161224682e+03
1.783269516615717620e+01 7.106373576782679891e+00 8.330748328995872143e+00 7.974157865915168841e+00 -1.363904711210604859e+01 -1.470121073354881105e+02
2.225974773508868054e+01 4.240857817216693526e+00 4.888615621250610666e+00 7.914454339401891581e+00 -3.908849167760557464e-01 -2.357577835058381481e+02
7.662386112245204117e+01 1.317659314219400457e+01 1.862755671714785421e+01 5.958562180182494394e+00 -5.717375603733488987e+01 -2.923617645547353732e+03
3.405912329488504042e+01 4.868370948357591210e+00 6.158386811196478128e+00 7.420600148330253276e+00 -1.939995416330858369e+00 -5.680215386990356592e+02
3.272567360789124535e+01 4.629059345725285546e+00 6.517218192313421810e+00 7.740429838136844154e+00 -8.242999504055621429e-01 -5.234944554360600932e+02
3.940905856266142138e+01 1.079589975524183210e+01 1.501415887569627294e+01 7.204502644990693483e+00 -4.627862192518954743e+01 -7.645465472885839517e+02
4.283261302907313706e+01 6.439769511123689227e+00 7.568830470784789100e+00 6.702075810627336594e+00 -1.321474160342251203e+01 -9.053259683401081475e+02
2.931470665097728912e+01 3.542410639339908407e+00 5.030178305866582100e+00 7.846633028623214656e+00 3.830924109996296512e+00 -4.176856119073713671e+02
3.535815624991043649e+01 4.733866842563238642e+00 6.751543733272347581e+00 7.107514671138805973e+00 -7.275375238735026784e-01 -6.131092055874854623e+02
2.827195215959300612e+01 2.208407787185889859e+01 2.661107495824761315e+01 7.089178617208366617e+00 -2.077185671082601459e+02 -3.876612383481030975e+02
4.081557983246133858e+01 1.500540523758658651e+01 1.891295486942055248e+01 7.522327420261111008e+00 -3.250978509587286425e+01 -8.209653774209575658e+02
6.507755451041553840e+01 2.444785423384736234e+01 2.835024552373643303e+01 6.694458737553311778e+00 -9.417298296421125769e+01 -2.105553649418997793e+03
6.571128105523634133e+01 8.414995838690325414e+00 9.934750300824525482e+00 6.282390087043510540e+00 -2.121639755379653280e+01 -2.146995827851076228e+03
2.684843947880978021e+01 9.057768044559546539e+00 1.180085222662888889e+01 7.576464789564618663e+00 -2.866923968717278726e+01 -3.484289501146011503e+02
6.740502545865022910e+01 1.976827040274024228e+01 2.515663804269562931e+01 6.224423660929451430e+00 -1.730854902875166772e+02 -2.259728327431588241e+03
2.968751270824378707e+01 6.883457124201368238e+00 7.973510628348122964e+00 7.528961154952714452e+00 -9.623467153815941089e+00 -4.286838042920135194e+02
2.150779072272245784e+01 4.312520286861693641e+00 6.187056924361660215e+00 7.590933665766598892e+00 1.492803677146971708e+00 -2.193021297771584841e+02
4.828648256602699007e+01 1.574668005377488278e+01 2.225511576138344694e+01 6.915822259944516048e+00 -8.672738624864096835e+01 -1.153801798190559794e+03
4.891687981039647326e+01 8.330068568420630370e+00 1.046817591884021148e+01 7.157754819370647503e+00 -1.115718617719773498e+01 -1.184440164083332320e+03
3.116451625653036217e+01 6.232198261213533819e+00 7.998702149317056254e+00 7.746710104658815155e+00 -3.288555047639264650e+00 -4.736231356427179549e+02
7.201326643662366678e+01 1.244075707172298273e+01 1.503418444662798947e+01 6.161166785876317498e+00 -4.529641884039423161e+01 -2.580964870327019526e+03
6.788474352267331824e+01 1.400998816607405395e+01 1.941295929121335462e+01 6.457275518438644113e+00 -6.828064204268584092e+01 -2.292178800460514140e+03
1.799083885858873444e+01 1.272684225170113947e+01 1.720907992741372539e+01 7.502258786122300016e+00 -4.879306073526463905e+01 -1.498447403087985492e+02
7.304866534691902302e+01 1.135938879719078365e+01 1.370400132396385651e+01 6.055280691374308688e+00 -4.808969808968497262e+01 -2.656063353374028793e+03
7.425887241023346519e+01 1.547880548573744619e+01 1.797221841835708744e+01 6.030347970398155510e+00 -9.118787187029924723e+01 -2.745199664710611614e+03
1.435075450212829118e+01 4.858159015013693072e+00 5.921479572654899215e+00 9.151334489636953506e+00 1.973139849551593272e+00 -9.098167628112304328e+01
5.308330602007102073e+01 8.136676385362354935e+00 1.082287006240937011e+01 6.719012088941578753e+00 -1.987847350952107561e+01 -1.396928287901199610e+03
