# SNRtot_MF, SNRtot_opt, SNR220_MF, SNR220_opt, SNR221_MF, SNR221_opt, evidence220_221, evidence220, evidence221, nofilter
2.078836502984765389e+01 2.072013757556012692e+01 1.748126489763132696e+01 1.724668477679995249e+01 7.086282635305313882e+00 7.440050035658756222e+00 -4.009858196794341438e+02 -4.131360618872282089e+02 -4.241005182500309729e+02 -6.136930830748061680e+02
1.029522442087302103e+01 1.051661763416924877e+01 6.355008691156800893e+00 6.576989278624798985e+00 4.880207855710212428e+00 5.052086126479436778e+00 -4.008066801389072111e+02 -4.071358113728093144e+02 -4.139182618203014385e+02 -4.531095598731376413e+02
1.028637495899971199e+01 1.074617651980326904e+01 1.116003498090400825e+01 1.160851440376323929e+01 2.369502174312469567e+00 2.251786248217689579e+00 -3.871249775108896642e+02 -3.883919819915761877e+02 -3.895229783764540343e+02 -4.354880649475348378e+02
7.661109599911684143e+01 7.607077537044237658e+01 7.812010913063431872e+01 7.748006333341558616e+01 1.297704038177316166e+00 3.633678425356765107e+00 -5.177315342527651865e+02 -5.178990540161329363e+02 -6.117408109257409023e+02 -3.350873782547860628e+03
2.692897818014069244e+01 2.756681861948228374e+01 2.977075872261844225e+01 3.072298679484906359e+01 7.249378799399760709e+00 4.835604117989542594e+00 -3.982872499142419542e+02 -4.095777481879464403e+02 -4.159492157044812188e+02 -7.485606631902193158e+02
7.494574169333230884e+01 7.482186898961658983e+01 7.738572159817103113e+01 7.743326732497136788e+01 1.111321416785203553e+01 9.790502937963605490e+00 -3.891999165592622489e+02 -4.086033070072746227e+02 -4.476779259506647577e+02 -3.184686221546348406e+03
8.204833433333714510e+00 8.903236618768504584e+00 6.578114913393517504e+00 7.888195817584352731e+00 7.730081801307863820e+00 7.154784852669065387e+00 -4.241421350030799431e+02 -4.295634191683867584e+02 -4.295386632493307388e+02 -4.540986337345726156e+02
6.960391846418434625e+01 6.903896571131018334e+01 4.816084867600727648e+01 4.725820762648914553e+01 2.918157632842641291e+01 2.930624071073983927e+01 -5.029055390889616888e+02 -6.755536259268513959e+02 -9.188741291940995097e+02 -2.850812618096269489e+03
8.205691931636773973e+01 8.181986892882575546e+01 7.952164266042213114e+01 7.929304912599067734e+01 1.014629498649412831e+01 1.001958785026934784e+01 -6.144002676739049775e+02 -6.376584107584736785e+02 -8.152423238996174177e+02 -3.783203698128586439e+03
1.281885857118101590e+01 1.272889676190438024e+01 1.207042348609495974e+01 1.200719625031376303e+01 2.139149413754022344e+00 1.940239567304784973e+00 -4.001261185902883994e+02 -3.990316004271517727e+02 -3.999201643360652270e+02 -4.748093494222517847e+02
4.605576038883354784e+01 4.484957783829648292e+01 3.374889750687511736e+01 3.289609806504105194e+01 2.581336225069933477e+01 2.476161316025963899e+01 -4.324661330446872398e+02 -6.489257967531477789e+02 -7.597740435410208875e+02 -1.453954653649992906e+03
2.498224521871754789e+01 2.465756868804002977e+01 2.770467376038215690e+01 2.768515681004769746e+01 1.102495286683581277e+01 1.030016819489085833e+01 -5.048075620327681463e+02 -5.273352678260250741e+02 -5.411954583779232735e+02 -7.503137778325932459e+02
3.737296567446068707e+01 3.833491063410321686e+01 3.231693680060590879e+01 3.325561899179765390e+01 1.027636551870819837e+01 1.080038540732501318e+01 -4.272909120528995572e+02 -4.478566812437696854e+02 -4.858371740596624591e+02 -1.107648650808668663e+03
5.259481929032590131e+01 5.313157380207569247e+01 4.321088880168349533e+01 4.368090124567788024e+01 3.233020847938497866e+01 3.257542537867070820e+01 -4.051769171332392716e+02 -6.834185965859898033e+02 -8.425436920949788373e+02 -1.770057752952802275e+03
4.766997611702839777e+01 4.834236859316363422e+01 4.803569852512165994e+01 4.921601012653035667e+01 2.322033481840664848e+01 2.206056474437367143e+01 -4.157406734562689508e+02 -5.245398317267636230e+02 -5.233237750476380370e+02 -1.528571371021290588e+03
1.086465462353540978e+01 1.193614067346253371e+01 1.314896471719221260e+01 1.453042587122563312e+01 6.452314946637897286e+00 4.993721155785380006e+00 -4.358028501433342967e+02 -4.412071479120790514e+02 -4.452563133569650518e+02 -4.804690825812255071e+02
7.839147028027333874e+01 7.891879909942312565e+01 6.852074756499233388e+01 6.901989895281988652e+01 1.478417775181782723e+01 1.525387981291152251e+01 -4.187844083769029453e+02 -4.737175361780255685e+02 -6.763412832931389858e+02 -3.462684078731478166e+03
5.688862298889429781e+01 5.897971264018579518e+01 2.785555414751649295e+01 3.006453544099768038e+01 3.365860801695004767e+01 3.527233368804085245e+01 -4.137143634589901922e+02 -5.128846977946534480e+02 -5.598253061597982878e+02 -2.003058778709776789e+03
3.520660102241924250e+01 3.554273301710841793e+01 3.468599282385561366e+01 3.546747626778409312e+01 1.844013500550648033e+01 1.754109201899342096e+01 -3.806721849583453832e+02 -4.792512614661521866e+02 -5.459761401238947656e+02 -9.634801616289472577e+02
6.570573501810549999e+01 6.515675452224674302e+01 6.475406127354162322e+01 6.408441471406480616e+01 1.380276197946407635e+01 1.430227147592546899e+01 -1.449932041905790356e+03 -1.488635728622716897e+03 -1.527461462828771118e+03 -2.542374561784513844e+03
7.534590903025420516e+01 7.544033798344790398e+01 7.524679146273997787e+01 7.534007294177507674e+01 -2.590934034109074191e-01 2.061630801850203865e-01 -4.151417736745610796e+02 -4.134741619562574328e+02 -5.110025289889097166e+02 -3.231196640820038283e+03
4.007826391423327550e+01 3.910869359742290641e+01 3.376431864936483151e+01 3.257410680902217592e+01 9.166879801171511133e+00 9.258841540410337245e+00 -4.657318992470616763e+02 -4.711281955096746401e+02 -5.153432794136816710e+02 -1.182109136931663215e+03
9.437225285416191412e+01 9.440271699854289977e+01 9.514300805951231155e+01 9.515954392471793710e+01 3.067834381558291579e+00 3.445789194184777138e+00 -6.637341425649213988e+02 -6.645757980234429851e+02 -7.771447856101938214e+02 -4.809338792821299648e+03
3.595466725709744793e+01 3.648947934721338981e+01 4.327351915925709847e+01 4.359903998551242665e+01 1.243265527180106567e+01 1.284696474509025599e+01 -3.851163696529824847e+02 -4.071328518827863263e+02 -4.119434660211766754e+02 -1.016875170025635839e+03
2.810975154062189318e+01 2.811135227923469060e+01 2.424706384868411035e+01 2.466335274231784780e+01 3.035588697524566015e+01 3.001532491475225228e+01 -4.228510322209687047e+02 -5.921462334182667746e+02 -5.957267124667889675e+02 -8.110547746559570896e+02
