# SNRtot, SNR221_res, SNR221, evidence220_221, evidence220, evidence221, nofilter
1.210462257883863089e+02 6.283927780254797923e+00 1.368418815271737543e+01 6.563692068800735413e+00 -2.945953103323958988e+00 -1.560362241237944261e+02 -7.314103987697444609e+03
1.608556165099368798e+02 8.219045133223213284e+00 1.889815852017337150e+01 6.159971591070770636e+00 -1.245840717246985818e+01 -1.880436785187193323e+02 -1.292527428028688519e+04
1.842798703285829731e+01 2.517941751154991969e+00 5.655997020387506957e+00 9.013724216513830712e+00 7.202323810619846611e+00 -4.131315092293993629e+00 -1.578049519325421386e+02
1.284465515431242864e+02 6.949703032172609873e+00 1.343245996740646042e+01 5.986210863556466144e+00 -2.476890607007583789e+00 -4.674326094393595099e+02 -8.237267900551185448e+03
1.009214813171617777e+02 3.023418989508504517e-01 6.255528058896763222e-01 6.333049612084361790e+00 4.972473252450262393e+00 -2.163400100101723353e+02 -5.080582294516061665e+03
7.942398744815785960e+01 2.393721801529760551e+00 4.537408260143490857e+00 7.063336913968981889e+00 5.024350370791127673e+00 -7.303122968608221299e+01 -3.142094489973514101e+03
8.892062337678697759e+01 1.625774163080796919e+00 3.636030019755271070e+00 6.532410323906651328e+00 4.996059192138949889e+00 -1.351264993348857502e+02 -3.941448229749142229e+03
9.728646224932217024e+01 3.189363724353611929e+00 6.554939849026260035e+00 6.303400505397418918e+00 3.828815376398854831e+00 -2.301016482148652642e+02 -4.720337467385339551e+03
8.665203741366639179e+01 8.531526920709824324e+00 1.994630369760783495e+01 6.576790567496302309e+00 -2.666808769338749663e+00 -2.708468310158291956e+02 -3.742297392860665695e+03
9.565120974159398770e+01 4.474770456412560549e+00 9.112127749954790801e+00 7.006036374136348499e+00 -7.033242755973483362e-01 -9.844723495244727474e+01 -4.562586561406147666e+03
3.818505377363033659e+01 7.599784652010416863e+00 1.647618446066759645e+01 7.606322700637796252e+00 -2.564980240967165592e+00 -5.028572474593533315e+01 -7.170587647384654701e+02
1.046227068257648227e+02 2.856875174601009704e+00 5.832529937961155930e+00 6.511358808252288632e+00 4.207657729026147209e+00 -1.586746532128264846e+02 -5.460964990665914229e+03
4.163000127342491652e+01 1.315436925790805178e+00 2.511189731775383294e+00 8.116148161321174115e+00 5.816433227874444611e+00 -2.605041025146338995e+01 -8.545381019036254884e+02
3.086272917776138058e+01 2.413797941025004334e-01 4.667949739574120405e-01 8.528978499643498523e+00 6.973049676948627429e+00 -1.636864307293042486e+01 -4.642636250408671685e+02
5.558412618916293013e+01 2.339227570723230176e+00 5.481012695564590587e+00 7.371790836278163894e+00 5.691958595654536879e+00 -5.865789751209625535e+01 -1.532807140997339729e+03
5.408339124767529427e+01 9.256931044476370829e+00 1.831852530010277746e+01 7.264173382175201255e+00 -5.396950940838806332e+00 -7.955461098861042046e+01 -1.450516203315505891e+03
5.758291898016011601e+01 1.311068770543102602e+01 2.895654804104784219e+01 6.847423733622981956e+00 -2.154095756078463708e+01 -2.606214675249747756e+02 -1.645905878028787356e+03
1.284740408513006571e+02 6.533308808511803178e+00 1.235164466567491459e+01 6.113755807714119861e+00 -1.279472117193993341e+00 -2.683558220266446597e+02 -8.240799185221780135e+03
1.547813132408149706e+01 8.256864029623027790e-01 1.788809002957253202e+00 9.792068903891829379e+00 7.683670342159541811e+00 1.898917406308519240e+00 -1.077958735337017515e+02
5.832657767269828497e+01 2.720524063220902011e+00 5.659829170661270226e+00 7.765393813952822910e+00 3.948903672893754990e+00 -4.003392365808319653e+01 -1.689004430395598547e+03
1.064958689107704686e+02 9.039001669330817279e+00 1.767225076160408292e+01 6.367518334021320392e+00 -4.966629255944662980e+00 -1.291177615439348187e+02 -5.658694646420949539e+03
1.384622961408188857e+01 4.034520969022351577e-01 7.935147575866033920e-01 9.684454040445638512e+00 8.299038703682546370e+00 1.072974797336794239e+00 -8.386863615388448068e+01
