# SNRtot, SNR221, SNR220, evidence220, evidence221, evidence220_221, nofilter
1.742576356941176963e+00 1.586975736089495381e+00 2.068746711102006919e-01 1.138953002715985896e+01 1.180006056359208522e+01 1.188500653926847939e+01 1.047211492916947151e+01
4.905664858057353861e+00 4.822402414340376531e+00 3.008542983353230116e-01 8.313137066001814901e+00 1.063096511945632372e+01 1.119650596299919343e+01 -4.237274073477514946e-02
1.679590391145200101e+02 2.997482042072336839e+01 1.445170764875385032e+02 -1.375439408551444664e+01 -1.540678402280363279e+01 2.664655256964168828e+00 -1.409312900902737601e+04
3.139770181851547215e-01 1.854111601213380423e-01 1.805023026618239601e-01 1.196714303992205153e+01 1.197292018836168381e+01 1.197933105767695672e+01 1.194111032508044445e+01
6.138099049785703532e-01 3.972861954237379839e-02 6.407935827508384197e-01 1.189835202217839161e+01 1.189828437924331439e+01 1.193732072686391987e+01 1.180201980932976369e+01
6.055907405116693099e+01 5.587745375393286196e+01 1.178420285891601438e+01 -1.476932677582399549e+02 3.131513246339873380e+00 8.378563898906051577e+00 -1.821710323858305173e+03
2.335289932445688610e+00 2.203666404926976519e+00 1.323969459336260979e+00 1.098169325431383037e+01 1.151275146015456308e+01 1.175441064077483766e+01 9.263611574763569223e+00
7.662980817216801022e+00 1.064901943932310147e+01 4.053366348827605492e+00 3.690695791999878850e+00 9.860559512795669335e+00 1.086858697776843208e+01 -1.737023639346167414e+01
7.331150633247590065e+01 6.973305660826612495e+01 7.591015334790057523e+00 -2.732637965273572718e+02 4.172243507756041581e+00 8.479393087440678656e+00 -2.675298079259272527e+03
5.086278424442877144e-01 1.835788522327969630e-01 3.800453102548463358e-01 1.193350209940014928e+01 1.194436114830248208e+01 1.196346120791409717e+01 1.186104996799989841e+01
2.725553075306536677e+00 1.380070177379973062e+00 1.772139258369876735e+00 1.085448383619596235e+01 1.126425554648736416e+01 1.162054821446422004e+01 8.276081325898204000e+00
1.937842383919192502e+00 2.037297595432453701e+00 1.782432711071993969e-01 1.126073950870251217e+01 1.179441873687820319e+01 1.187284009601142465e+01 1.011278455659785536e+01
5.994761240040244132e+01 6.044142836407033315e+01 4.279165677046515981e+01 -5.704943223427395793e+01 -4.563097310081713687e+01 6.963135035846806709e+00 -1.784867715145387592e+03
2.683620990636230275e+00 1.302879220768392354e+00 2.384498167764655285e+00 1.089013705439050739e+01 1.090785400879181211e+01 1.144727633945969636e+01 8.389490298362971998e+00
2.767659623961988835e-01 2.411687347169954102e-02 2.950679076415801960e-01 1.197135363194943380e+01 1.197135272496774228e+01 1.197928922112068051e+01 1.195210141008411675e+01
1.022044963614310262e+02 3.661542970607082026e+01 8.266057974965089272e+01 -1.762492470742676076e+01 -1.962378676036940561e+01 6.067751300347246968e+00 -5.210889137137828584e+03
1.326316778809129282e+01 6.885350298596370600e+00 1.550538695351740515e+01 6.080478095146030881e+00 2.732764628988178401e+00 9.062019255510724847e+00 -7.596540877847658635e+01
1.883647658655752233e+00 8.842733257650210454e-01 1.576204636629264355e+00 1.137159977480957451e+01 1.159313491255757000e+01 1.175675879075788721e+01 1.021633685807501557e+01
5.299592173280515794e+00 2.491909462130971198e-01 5.293474323423096983e+00 9.786264375978333874e+00 8.382429976878418287e+00 1.072379076607930770e+01 -2.052437492493384141e+00
4.682854409982705590e+01 1.910605654947970322e+01 3.039140892130384586e+01 -3.592951793148954742e+00 7.893859173851858202e-02 8.411383544903813458e+00 -1.084465870145669214e+03
2.345917043809043978e+00 2.006918344793953590e+00 3.253554189624457305e+00 1.072110866206384650e+01 1.047465070309010571e+01 1.129936990056741308e+01 9.238737720837782774e+00
7.844479888827594616e-01 3.816047913640475964e-02 7.654048303336233872e-01 1.186178298108083595e+01 1.188525021831343054e+01 1.192869848009130251e+01 1.168272178542356166e+01
4.470780285598400461e+00 1.434425593723005932e+00 4.370827732777301300e+00 1.002192397697862702e+01 9.081407169615395958e+00 1.088967913137731713e+01 1.996462928007005644e+00
2.323014985726550297e+00 9.387149976521073080e-01 2.970873186201941074e+00 1.088372763651744712e+01 1.059426539560277014e+01 1.134856972781957296e+01 9.292201797099602700e+00
