# SNRtot, SNR221, evidence220, evidence221, evidence220_221, nofilter
1.486724674916133360e+01 5.791349076508991445e+00 7.133509600691168906e+00 6.926133065418455637e+00 1.022161315489545075e+01 -9.852711184116945731e+01
1.020857780870557349e+03 3.976623154401619900e+02 -3.073870261666370425e+03 -1.562672378929633396e+03 -1.026501898472335625e+02 -5.210633139808703563e+05
8.262824119814208501e+00 3.218679264763102399e+00 8.796771806677133654e+00 8.642581302940934407e+00 1.075300708143125483e+01 -2.214673010843705470e+01
4.279708830751860660e+01 1.667106775240701921e+01 -1.767174953920633840e-01 2.438035364395056526e+00 8.917304102570273727e+00 -9.038049826917182372e+02
5.413212041198168123e+01 2.108648701718009022e+01 -4.026932684488651049e+00 3.496865127062660505e-01 8.471682255148815344e+00 -1.453152829039587232e+03
1.231963657093984352e+02 4.798959557327827952e+01 -4.214581848714166057e+01 -1.933890750740797060e+01 5.677634489900393433e+00 -7.576681860892867007e+03
2.216664352336134698e+02 8.634737329933987837e+01 -1.432845818768673780e+02 -7.114470930920305136e+01 9.668513522033030938e-01 -2.455601385347982432e+04
3.153270019356231160e+02 1.228316696607752618e+02 -2.920228990609631978e+02 -1.471299616387967149e+02 -4.851988688672303596e+00 -4.970356867374518333e+04
8.660374485187399785e+01 3.373540012029548762e+01 -1.869847069665446071e+01 -7.313910978682497621e+00 7.192203361824977215e+00 -3.738113910075191143e+03
7.700452808716369191e+01 2.999614590036737383e+01 -1.377619343597541857e+01 -4.769283529530353505e+00 7.575309603645958845e+00 -2.952858271854336181e+03
3.546349792524899840e+02 1.381435980880285967e+02 -3.698203023219364241e+02 -1.867939168188941892e+02 -7.756855673105231830e+00 -6.287099385359794542e+04
1.970967799039578381e+02 7.677657292827744584e+01 -1.127827673949250311e+02 -5.552670003170685220e+01 2.256720749534331993e+00 -1.941157992314554576e+04
1.558255658651455917e+02 6.069989031563687831e+01 -6.945213865018141064e+01 -3.332505616809636706e+01 4.239578817095218888e+00 -1.212881308748735682e+04
4.083250835515472410e+00 1.590579032849578800e+00 1.024659485326594499e+01 1.057792626952492832e+01 1.132833522861144537e+01 3.653932416185764254e+00
5.044786535739402780e+02 1.965133177505617539e+02 -7.498919380365024381e+02 -3.803150430679838792e+02 -2.150063166777271562e+01 -1.272373655547787785e+05
2.114909431150206487e+01 8.238363825960464126e+00 5.662447519723350808e+00 5.868029774340283389e+00 9.863585563530781641e+00 -2.116516939893498090e+02
3.008520661177837496e+01 1.171931403758622992e+01 3.454307543933075042e+00 4.501096860251705856e+00 9.443483469735516778e+00 -4.405694273276419608e+02
1.148115688527952898e+03 4.472340336220569270e+02 -3.888107351812074739e+03 -1.976878976242017188e+03 -1.308271907412923269e+02 -6.590728267208985053e+05
1.175410952260965480e+01 4.578665604833050295e+00 7.881458003055834105e+00 7.585199815781582977e+00 1.044000720429912654e+01 -5.708914422569682046e+01
5.164721121030488860e+00 2.011852187520441593e+00 9.799888289845208433e+00 1.004480666653251042e+01 1.115072763530833910e+01 -1.346771019954550397e+00
6.380924567651372854e+02 2.485608951383408396e+02 -1.200432971045126578e+03 -6.095801457960344578e+02 -3.742729574738996945e+01 -2.035690012891752704e+05
1.385537563518088291e+02 5.397187404185402215e+01 -5.423877784796893309e+01 -2.553139512660585098e+01 5.012680117426866033e+00 -9.586581298489149049e+03
1.752504415364831516e+02 6.826660644529603417e+01 -8.861614152124384702e+01 -4.314512762500204701e+01 3.332481667335194686e+00 -1.534436822825709351e+04
3.988430034136108020e+02 1.553642781654776286e+02 -4.681907427926424248e+02 -2.369074548292276177e+02 -1.136683041031338881e+01 -7.952588028488571581e+04
6.846929490253410222e+01 2.667135310883175237e+01 -9.817063245552137829e+00 -2.707827024638601365e+00 7.911816344535056444e+00 -2.332031771116036452e+03
9.739957907252914993e+01 3.794078162763224071e+01 -2.483833393551980961e+01 -1.047151386054637712e+01 6.754661373056879192e+00 -4.731348600643874306e+03
5.808544007834384182e+00 2.262645299643732066e+00 9.564112335480722038e+00 9.727088402331492745e+00 1.105508389003385616e+01 -4.879190636419698635e+00
5.673658638344097653e+02 2.210102399588870128e+02 -9.488327961041704839e+02 -4.815567259703742025e+02 -2.856049494695814772e+01 -1.609400213211739319e+05
