# SNRtot_MF, evidence220_330, evidence220
3.441669510304599555e+01 -4.325661905709083612e+02 -4.311441022097167206e+02
7.973375767811936043e+01 -4.406613701079970156e+02 -4.395716581143293524e+02
6.327705429705029871e+01 -4.169869660659496731e+02 -4.169724343156819941e+02
3.441778196834486891e+01 -4.083184374674603987e+02 -4.073275303493875299e+02
1.019713165720367130e+02 -4.368267193339870573e+02 -4.365829056577299525e+02
1.058475420055665808e+02 -1.573027417985851571e+03 -1.573600643239895817e+03
7.046672091228992940e+01 -3.872188734113849478e+02 -3.872249625564388111e+02
5.816525682849264456e+01 -3.929418545300517280e+02 -3.928645256867745843e+02
4.141653722038339680e+01 -3.931457426811122104e+02 -3.993001791288727418e+02
7.923174886550177121e+01 -4.253263124575799452e+02 -4.255146243312589149e+02
2.538529148041860495e+01 -4.049837805652835527e+02 -4.071618908305528066e+02
1.558434747066541348e+01 -4.002631370301340326e+02 -4.002574596742580297e+02
1.073521999441882286e+02 -6.366582260168357834e+02 -6.386965387432665011e+02
1.680688094150299250e+01 -3.874439194271237170e+02 -3.868812413116146445e+02
1.295091941938760840e+02 -3.959639740086581128e+02 -3.986570075961552106e+02
6.928522204173872012e+01 -3.693265466530211825e+02 -3.714079995679271633e+02
5.127656930727587081e+01 -4.488728163562513487e+02 -4.502343022543821576e+02
4.020460619254204460e+01 -4.195448592612680727e+02 -4.219058651186674069e+02
4.368881752801807750e+01 -6.580352981925001359e+02 -6.581313152057010711e+02
7.758351720158451315e+01 -3.859165919800577740e+02 -3.864648547898096353e+02
3.368419281185197889e+01 -3.828421840468094501e+02 -3.833872055375389891e+02
2.660532186431123236e+01 -3.840829976369122392e+02 -3.847663604490729199e+02
9.344174607337194516e+01 -3.877317742196092354e+02 -3.886796035621505894e+02
8.389620519438069834e+01 -4.318210186530690180e+02 -4.365480293911132321e+02
6.465244890266068012e+01 -3.852712981499831244e+02 -3.877874129469291233e+02
1.114942420685937918e+02 -4.826585695206613877e+02 -4.846803393538942260e+02
4.012937321257938095e+01 -3.971612624921888255e+02 -3.972027623002254586e+02
5.092218520675879745e+01 -3.887521547228703298e+02 -3.906396571130166535e+02
6.851363115715045637e+00 -3.735315749088236430e+02 -3.736293476500276256e+02
8.621297586341565022e+01 -4.106789600452216291e+02 -4.177882234155947003e+02
5.269882534798983897e+01 -3.849276922881726364e+02 -3.841006916459349441e+02
8.220204028303227162e+00 -4.024773309336201237e+02 -4.019885802496296492e+02
4.874924057439793046e+01 -4.040775944863013365e+02 -4.065153484601717651e+02
7.982966144812695575e+01 -4.372022113669947316e+02 -4.373731346395304627e+02
9.246624940866351494e+01 -4.234273612722773237e+02 -4.233665613044828433e+02
