# SNRtot, SNR200, SNR220, evidence220, evidence200, evidence220_200, nofilter
3.284251161007412065e+02 3.024683110418956744e+01 3.026138513889466708e+02 -9.382980226672342994e+00 -9.642622242582897130e+00 4.234623698746027287e+00 -5.391953804178362043e+04
3.871372257379958910e+02 3.565401580751773025e+01 3.567117164713779971e+02 -1.425799736575395116e+01 -1.451792741477010829e+01 3.654392083473680497e+00 -7.492562537494694698e+04
6.884381573894685289e+02 6.340280219571105391e+01 6.343331007206935510e+02 -5.047773953077116005e+01 -5.072545874894763784e+01 2.248155945620466500e+00 -2.369615578737942851e+05
2.786171148490485194e+01 2.565968436162711530e+00 2.567203117360998377e+01 7.158013047029214704e+00 7.082321604961896000e+00 9.494840214787071631e+00 -3.761470823249847513e+02
8.810646780277136259e+01 8.114304662374532739e+00 8.118209067145306790e+01 4.082700648016066580e+00 3.836625506794324458e+00 8.016187988390349517e+00 -3.869384433231338335e+03
1.127588525615262398e+02 1.038470507196084824e+01 1.038970193783082863e+02 3.052384474955992744e+00 2.800536913029389119e+00 7.516458970897446079e+00 -6.345289014386951749e+03
1.329165986948416730e+03 1.224116462040933015e+02 1.224705476916913312e+03 -1.919064727589712049e+02 -1.916079873941050948e+02 7.348186338408144724e-01 -8.833291200291702989e+05
1.038571407683579537e+03 9.564887829166468691e+01 9.569490219047794426e+02 -1.167946482341560852e+02 -1.168396098612375056e+02 1.334066722329349197e+00 -5.393032940278168535e+05
6.340896257639185478e+02 5.839748811877402801e+01 5.842558756052525268e+02 -4.253459331213377936e+01 -4.278951168979555320e+01 2.424685523604779736e+00 -2.010228363496040693e+05
4.203191907182633713e+02 3.870996141356396691e+01 3.872858769940215211e+02 -1.732168442678109699e+01 -1.758172350066739753e+01 3.399817902648344603e+00 -8.832212064191886748e+04
3.565748004415344781e+02 3.283932085649905019e+01 3.285512233381054443e+02 -1.163398990785140619e+01 -1.189378781335443591e+01 3.935028453709854990e+00 -6.356080375385100342e+04
2.363628507114432864e+02 2.176821099937083659e+01 2.177868532963246082e+02 -3.098607334968614957e+00 -3.357291164943040140e+00 5.443740611811424657e+00 -2.792170819711095828e+04
2.177032605520199695e+02 2.004972649755717740e+01 2.005937393514388134e+02 -2.017262097193298409e+00 -2.275589801390810685e+00 5.721233877612235119e+00 -2.368536442638129301e+04
